water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,sand,sand,sand,sand,grass4,grass2,grass2,grass2,grass2,grass2,grass2,grass2,grass2,sand,sand,sand,sand,grass4,grass2,grass2,grass2,grass2,grass2,grass2,grass2,sand,sand,sand,sand,sand,grass4,grass2,grass2,grass2,grass2,grass2,grass2,grass2,grass2,sand,sand,sand,sand,grass4,grass2,grass2,grass2,grass2,sand,water,water,water
water,water,water,sand,grass4,grass2,grass2,grass2,grass,sand,grass,grass,grass,grass,grass,texgrass,grass,grass2,grass2,grass2,grass2,grass,grass,tree-grass1,texgrass,grass,grass,grass,grass,grass2,grass4,grass2,grass2,grass2,grass,tree-grass1,grass,grass,grass,grass,grass,texgrass,grass,grass2,grass2,grass2,grass2,grass,grass,tree-grass1,texgrass,grass,sand,water,water,water
water,water,water,sand,grass3,grass,grass,grass,texgrass,tree-grass,grass,texgrass,tree-grass1,grass,texgrass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,texgrass,texgrass,grass,grass3,grass,grass,grass,texgrass,tree-grass,grass,texgrass,tree-grass1,grass,texgrass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,water,water,water
water,water,water,grass4,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass,grass,grass,texgrass,texgrass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,tree-grass1,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass,grass,grass,texgrass,texgrass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,tree-grass1,grass,water,water,water
water,water,water,grass3,grass,tree-grass1,grass,texgrass,texgrass,grass,grass,texgrass,texgrass,grass,grass,texgrass,tree-grass1,grass,grass,texgrass,grass,grass,grass,texgrass,texgrass,tree-grass,grass,tree-grass1,grass,texgrass,grass,tree-grass1,grass,texgrass,texgrass,grass,grass,texgrass,texgrass,grass,grass,texgrass,tree-grass1,grass,grass,texgrass,grass,grass,grass,texgrass,texgrass,tree-grass,grass,water,water,water
water,water,water,grass3,texgrass,tree-grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,tree-grass,grass,texgrass,grass,texgrass,grass,texgrass,texgrass,texgrass,grass,texgrass,tree-grass,grass,grass,texgrass,tree-grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,tree-grass,grass,texgrass,grass,texgrass,grass,texgrass,texgrass,texgrass,grass,grass,water,water,water
water,water,water,grass3,grass,grass,grass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,water,water,water
water,water,water,grass3,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,texgrass,grass,grass,tree-grass1,texgrass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,texgrass,grass,water,water,water
water,water,water,grass3,grass,texgrass,grass,tree-grass1,grass,grass,texgrass,grass,texgrass,grass,grass,grass,texgrass,tree-grass1,grass,texgrass,grass,tree-grass,grass,grass,grass,grass,grass,tree-grass1,tree-grass,grass,grass,texgrass,grass,tree-grass1,grass,grass,texgrass,grass,texgrass,grass,grass,grass,texgrass,tree-grass1,grass,texgrass,grass,tree-grass,grass,grass,grass,grass,grass,water,water,water
water,water,water,grass3,tree-grass1,grass,grass,tree-grass,grass,texgrass,texgrass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,tree-grass,grass,grass,tree-grass1,grass,grass,tree-grass,grass,texgrass,texgrass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,water,water,water
water,water,water,grass3,tree-grass,grass,texgrass,texgrass,grass,grass,grass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass,grass,texgrass,texgrass,grass,grass,grass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,grass,water,water,water
water,water,water,grass3,texgrass,grass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,texgrass,grass,water,water,water
water,water,water,grass3,grass,grass,grass,texgrass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,tree-grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,tree-grass,grass,grass,grass,texgrass,grass,grass,water,water,water
water,water,water,grass3,grass,grass,texgrass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,sand,water,water,water
water,water,water,sand,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass,grass,grass,texgrass,texgrass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,tree-grass1,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass,grass,grass,texgrass,texgrass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,tree-grass1,sand,water,water,water
water,water,water,sand,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,sand,water,water,water
water,water,water,sand,grass,texgrass,grass,tree-grass1,grass,grass,texgrass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,texgrass,grass,tree-grass,grass,grass,grass,grass,grass,tree-grass1,tree-grass,grass,grass,texgrass,grass,tree-grass1,grass,grass,texgrass,grass,texgrass,grass,grass,grass,texgrass,tree-grass1,grass,texgrass,grass,tree-grass,grass,grass,grass,grass,sand,water,water,water
water,water,water,sand,tree-grass,grass,texgrass,texgrass,grass,grass,grass,grass,tree-grass1,texgrass,grass,grass,texgrass,tree-grass1,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass,grass,texgrass,texgrass,grass,grass,grass,grass,tree-grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,sand,water,water,water
water,water,water,sand,tree-grass1,grass,grass,tree-grass,grass,texgrass,texgrass,grass,tree-grass,grass,grass,grass,grass,tree-grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,tree-grass,grass,grass,tree-grass1,grass,grass,tree-grass,grass,texgrass,texgrass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,sand,water,water,water
water,water,water,sand,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,texgrass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,texgrass,sand,water,water,water
water,water,water,sand,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,grass,tree-grass1,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,grass,tree-grass1,texgrass,grass,sand,water,water,water
water,water,water,sand,grass,grass,grass,grass,texgrass,tree-grass,grass,tree-grass1,texgrass,grass,texgrass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,grass,grass,texgrass,tree-grass,grass,texgrass,tree-grass1,grass,texgrass,grass,grass,grass,tree-grass1,grass,grass,grass,grass,tree-grass,grass,grass,sand,water,water,water
water,water,water,sand,grass,grass,grass,texgrass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,tree-grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,tree-grass,grass,grass,grass,texgrass,grass,sand,water,water,water
water,water,water,sand,grass,grass,texgrass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,grass,texgrass,grass,grass,grass,texgrass,grass,grass,grass,grass,sand,water,water,water
water,water,water,sand,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,texgrass,grass,grass,tree-grass1,texgrass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,texgrass,grass,grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,texgrass,sand,water,water,water
water,water,water,sand,grass,grass,grass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,texgrass,tree-grass,grass,grass,texgrass,grass,grass,grass,grass,grass,grass,texgrass,grass,grass,texgrass,texgrass,grass,sand,water,water,water
water,water,water,sand,grass,tree-grass1,grass,texgrass,texgrass,grass,grass,texgrass,texgrass,grass,grass,texgrass,tree-grass1,grass,grass,texgrass,grass,grass,grass,texgrass,texgrass,tree-grass,grass,tree-grass1,grass,texgrass,grass,tree-grass1,grass,texgrass,texgrass,grass,grass,texgrass,texgrass,grass,grass,texgrass,tree-grass1,grass,grass,texgrass,grass,grass,grass,texgrass,texgrass,tree-grass,sand,water,water,water
water,water,water,sand,texgrass,tree-grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,tree-grass,grass,texgrass,grass,texgrass,grass,texgrass,texgrass,texgrass,grass,texgrass,tree-grass,grass,grass,texgrass,tree-grass,grass,texgrass,grass,grass,tree-grass1,grass,grass,grass,grass,grass,tree-grass,grass,texgrass,grass,texgrass,grass,texgrass,texgrass,texgrass,grass,sand,water,water,water
water,water,water,water,sand,sand,sand,sand,water,water,water,water,water,water,water,water,water,sand,sand,sand,sand,water,water,water,water,water,water,water,water,sand,grass,grass,grass,sand,water,water,water,water,water,water,water,water,water,sand,sand,sand,sand,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,sand,sand,sand,sand,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water
